source,native,name,p_value,significant,intersection_size,term_size,query_size,effective_domain_size,precision,recall,intersections
REAC,REAC:R-HSA-5693538,Homology Directed Repair,1.8855991530316496e-8,true,6,140,11,11056,0.5454545454545454,0.04285714285714286,;REAC;REAC;REAC;;REAC;REAC;REAC;;;
REAC,REAC:R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,2.13189551111881e-8,true,5,61,11,11056,0.45454545454545453,0.08196721311475409,REAC;REAC;REAC;REAC;;REAC;;;;;
REAC,REAC:R-HSA-6804760,Regulation of TP53 Activity through Methylation,2.13189551111881e-8,true,4,19,11,11056,0.36363636363636365,0.21052631578947367,REAC;REAC;;;REAC;;;;;;REAC
GO:BP,GO:0051052,regulation of DNA metabolic process,2.156646006051256e-8,true,7,485,11,20972,0.6363636363636364,0.01443298969072165,"IDA,IEA;IMP,IGI,ISS,IEA;IMP,ISS,NAS;IDA;;IMP,NAS;;IDA;IMP,TAS,IEA;;"
GO:BP,GO:0010389,regulation of G2/M transition of mitotic cell cycle,2.520469943181169e-8,true,5,104,11,20972,0.45454545454545453,0.04807692307692308,";IMP;IDA;IDA,IMP,IBA;;IMP,IBA,NAS,IEA;;;IMP;;"
REAC,REAC:R-HSA-69563,p53-Dependent G1 DNA Damage Response,2.653508078148008e-8,true,5,66,11,11056,0.45454545454545453,0.07575757575757576,REAC;REAC;;;REAC;;;;REAC;;REAC
REAC,REAC:R-HSA-69580,p53-Dependent G1/S DNA damage checkpoint,2.653508078148008e-8,true,5,66,11,11056,0.45454545454545453,0.07575757575757576,REAC;REAC;;;REAC;;;;REAC;;REAC
REAC,REAC:R-HSA-212436,Generic Transcription Pathway,2.653508078148008e-8,true,10,1231,11,11056,0.9090909090909091,0.008123476848090982,REAC;REAC;REAC;REAC;REAC;REAC;;REAC;REAC;REAC;REAC
GO:BP,GO:0080134,regulation of response to stress,2.6859860386169294e-8,true,9,1410,11,20972,0.8181818181818182,0.006382978723404255,"IEA;IMP,TAS,IEA;IMP,TAS,NAS,IEA;IDA;IEA;IMP,NAS;NAS;IDA,NAS;;;IDA"
REAC,REAC:R-HSA-69481,G2/M Checkpoints,4.103492973714568e-8,true,6,167,11,11056,0.5454545454545454,0.03592814371257485,REAC;REAC;REAC;REAC;REAC;REAC;;;;;
REAC,REAC:R-HSA-9709603,Impaired BRCA2 binding to PALB2,4.6638049070056384e-8,true,4,24,11,11056,0.36363636363636365,0.16666666666666666,;REAC;;;;REAC;REAC;REAC;;;
GO:BP,GO:0007095,mitotic G2 DNA damage checkpoint signaling,4.743099931149671e-8,true,4,36,11,20972,0.36363636363636365,0.1111111111111111,";IMP;;IMP,IBA;;IMP,IBA;;;IMP;;"
REAC,REAC:R-HSA-9704331,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,4.783907237020509e-8,true,4,25,11,11056,0.36363636363636365,0.16,;REAC;;;;REAC;REAC;REAC;;;
REAC,REAC:R-HSA-9701193,Defective homologous recombination repair (HRR) due to PALB2 loss of function,4.783907237020509e-8,true,4,25,11,11056,0.36363636363636365,0.16,;REAC;;;;REAC;REAC;REAC;;;
REAC,REAC:R-HSA-9701192,Defective homologous recombination repair (HRR) due to BRCA1 loss of function,4.783907237020509e-8,true,4,25,11,11056,0.36363636363636365,0.16,;REAC;;;;REAC;REAC;REAC;;;
REAC,REAC:R-HSA-9704646,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,4.783907237020509e-8,true,4,25,11,11056,0.36363636363636365,0.16,;REAC;;;;REAC;REAC;REAC;;;
REAC,REAC:R-HSA-73857,RNA Polymerase II Transcription,4.950569664013243e-8,true,10,1352,11,11056,0.9090909090909091,0.0073964497041420114,REAC;REAC;REAC;REAC;REAC;REAC;;REAC;REAC;REAC;REAC
REAC,REAC:R-HSA-5693554,Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA),6.202473443303767e-8,true,4,27,11,11056,0.36363636363636365,0.14814814814814814,;REAC;;;;REAC;REAC;REAC;;;
GO:BP,GO:0043516,"regulation of DNA damage response, signal transduction by p53 class mediator",7.228448509638342e-8,true,4,40,11,20972,0.36363636363636365,0.1,IEA;IMP;IMP;;;;;;;;IDA
GO:BP,GO:0097190,apoptotic signaling pathway,9.95927715126811e-8,true,7,612,11,20972,0.6363636363636364,0.011437908496732025,"IDA,IMP,ISS,TAS,IEA;IBA,IEA;;;IDA,IMP,IEA;IDA,IMP;IEA;;TAS,IEA;;IMP"
GO:BP,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,1.3627076010720652e-7,true,4,47,11,20972,0.36363636363636365,0.0851063829787234,"IDA,IMP,IEA;;;;IEA;;IEA;;IEA;;"
GO:BP,GO:1901976,regulation of cell cycle checkpoint,1.5921854414180195e-7,true,4,49,11,20972,0.36363636363636365,0.08163265306122448,;;;;IEA;NAS;NAS;NAS;;;
REAC,REAC:R-HSA-74160,Gene expression (Transcription),1.672747529713377e-7,true,10,1539,11,11056,0.9090909090909091,0.00649772579597141,REAC;REAC;REAC;REAC;REAC;REAC;;REAC;REAC;REAC;REAC
REAC,REAC:R-HSA-6804757,Regulation of TP53 Degradation,1.8894648942308587e-7,true,4,36,11,11056,0.36363636363636365,0.1111111111111111,REAC;REAC;;;REAC;;;;;;REAC
REAC,REAC:R-HSA-5693568,Resolution of D-loop Structures through Holliday Junction Intermediates,1.8894648942308587e-7,true,4,36,11,11056,0.36363636363636365,0.1111111111111111,;REAC;;;;REAC;REAC;REAC;;;
GO:BP,GO:0019219,regulation of nucleobase-containing compound metabolic process,1.9340319057719067e-7,true,11,3954,11,20972,1,0.00278199291856348,"IDA,IMP,IGI,ISS,IBA,NAS,IEA;IMP,IGI,ISS,IEA;IMP,ISS,NAS;IDA;IDA;IDA,IMP,IBA,TAS,NAS,IEA;IDA,IBA;IDA;IMP,TAS,IEA;IMP;IDA,IMP"
REAC,REAC:R-HSA-5693537,Resolution of D-Loop Structures,1.9457332972034216e-7,true,4,37,11,11056,0.36363636363636365,0.10810810810810811,;REAC;;;;REAC;REAC;REAC;;;
REAC,REAC:R-HSA-5685938,HDR through Single Strand Annealing (SSA),1.9457332972034216e-7,true,4,37,11,11056,0.36363636363636365,0.10810810810810811,;REAC;REAC;;;REAC;;REAC;;;
REAC,REAC:R-HSA-6806003,Regulation of TP53 Expression and Degradation,1.9457332972034216e-7,true,4,37,11,11056,0.36363636363636365,0.10810810810810811,REAC;REAC;;;REAC;;;;;;REAC
GO:BP,GO:0031297,replication fork processing,1.9702392559269216e-7,true,4,52,11,20972,0.36363636363636365,0.07692307692307693,";;ISS;;;NAS;IMP,IEA;IDA,IMP,IEA;;;"
GO:BP,GO:0006950,response to stress,2.038236409990816e-7,true,11,3984,11,20972,1,0.0027610441767068274,"IDA,IMP,IEP,ISS,IEA;IDA,IMP,IBA,TAS,IEA;IDA,IMP,IBA,TAS,NAS,IEA;IDA,IMP,ISS,IBA,IEA;IDA,IMP,IBA,TAS,IEA;IDA,IMP,IBA,TAS,NAS,IEA;IDA,IMP,IBA,NAS,IEA;IDA,IMP,IBA,TAS,NAS,IEA;IDA,IMP,IBA,TAS,IEA;IMP,TAS,IEA;IDA,IMP,IEP"
GO:BP,GO:0000723,telomere maintenance,2.1366814881230831e-7,true,5,164,11,20972,0.45454545454545453,0.03048780487804878,"IDA;IMP,IGI,ISS,IBA,IEA;ISS,IBA;;;;IEA;ISS,IEA;;;"
REAC,REAC:R-HSA-1500620,Meiosis,3.07076259492914e-7,true,5,118,11,11056,0.45454545454545453,0.0423728813559322,;REAC;REAC;;;REAC;REAC;REAC;;;
GO:BP,GO:0045005,DNA-templated DNA replication maintenance of fidelity,3.15261947268248e-7,true,4,59,11,20972,0.36363636363636365,0.06779661016949153,";;ISS;;;NAS;IMP,IEA;IDA,IMP,IEA;;;"
GO:BP,GO:0006915,apoptotic process,3.15261947268248e-7,true,9,1898,11,20972,0.8181818181818182,0.004741833508956797,"IDA,IMP,IGI,ISS,TAS,IEA;IMP,IBA,TAS,IEA;;IDA,IEA;IDA,IMP,IEA;IDA,IMP;IEA;;TAS,IEA;IDA,TAS;IDA,IMP,IBA,IEA"
GO:BP,GO:0000724,double-strand break repair via homologous recombination,3.9502379429118706e-7,true,5,187,11,20972,0.45454545454545453,0.026737967914438502,";IDA,IEA;;IDA;;IDA,IBA;IDA,IMP,IBA,IEA;IDA,IMP,IBA,TAS,IEA;;;"
GO:BP,GO:0012501,programmed cell death,4.0339246552102475e-7,true,9,1958,11,20972,0.8181818181818182,0.004596527068437181,"IDA,IMP,IGI,ISS,TAS,IEA;IMP,IBA,TAS,IEA;;IDA,IEA;IDA,IMP,IEA;IDA,IMP;IEA;;TAS,IEA;IDA,TAS;IDA,IMP,IBA,IEA"
GO:BP,GO:0008219,cell death,4.050271735710898e-7,true,9,1962,11,20972,0.8181818181818182,0.0045871559633027525,"IDA,IMP,IGI,ISS,TAS,IEA;IMP,IBA,TAS,IEA;;IDA,IEA;IDA,IMP,IEA;IDA,IMP;IEA;;TAS,IEA;IDA,TAS;IDA,IMP,IBA,IEA"
GO:BP,GO:0032200,telomere organization,4.2114781973704187e-7,true,5,191,11,20972,0.45454545454545453,0.02617801047120419,"IDA;IMP,IGI,ISS,IBA,IEA;ISS,IBA;;;;IEA;ISS,IEA;;;"
GO:BP,GO:0000725,recombinational repair,4.264627287619373e-7,true,5,192,11,20972,0.45454545454545453,0.026041666666666668,";IDA,IEA;;IDA;;IDA,IBA;IDA,IMP,IBA,IEA;IDA,IMP,IBA,TAS,IEA;;;"
GO:BP,GO:0009966,regulation of signal transduction,5.854196090158336e-7,true,10,3031,11,20972,0.9090909090909091,0.003299241174529858,"IMP,ISS,IEA;IMP,IBA,TAS,IEA;IMP;TAS;TAS,IEA;IMP,NAS;NAS;NAS;;IDA,IMP;IDA,IMP,TAS"
GO:BP,GO:0030330,"DNA damage response, signal transduction by p53 class mediator",6.286603508294978e-7,true,4,72,11,20972,0.36363636363636365,0.05555555555555555,"IDA,IMP,IEA;IMP;IMP;;;;;;;;IDA,IMP"
GO:BP,GO:0010833,telomere maintenance via telomere lengthening,6.286603508294978e-7,true,4,72,11,20972,0.36363636363636365,0.05555555555555555,"IDA;IMP,IGI,ISS,IEA;ISS;;;;;ISS,IEA;;;"
GO:BP,GO:0006282,regulation of DNA repair,9.761986187574676e-7,true,5,229,11,20972,0.45454545454545453,0.021834061135371178,";IMP;NAS;IDA;;IMP,NAS;;IDA;;;"
REAC,REAC:R-HSA-69541,Stabilization of p53,0.0000010928893512315076,true,4,57,11,11056,0.36363636363636365,0.07017543859649122,REAC;REAC;;;REAC;;;;;;REAC
REAC,REAC:R-HSA-1474165,Reproduction,0.0000011825539085592438,true,5,156,11,11056,0.45454545454545453,0.03205128205128205,;REAC;REAC;;;REAC;REAC;REAC;;;
GO:BP,GO:2000278,regulation of DNA biosynthetic process,0.0000012017680040095722,true,4,85,11,20972,0.36363636363636365,0.047058823529411764,"IDA;IGI,ISS,IEA;ISS;;;;;;IMP,IEA;;"
